milb_id,mlb_id,mlb,war,draft,bats,throws,height,weight,positions,designated,first,second,third,shortstop,catcher,outfielder
davis001kyl,none,0,nan,27.0,right,right,71.0,160.0,Shortstop and Second Baseman,0,0,1,0,1,0,0
dostal001bru,none,0,nan,17.0,left,left,72.0,195.0,Outfielder,0,0,0,0,0,0,1
baez000leu,none,0,nan,nan,both,right,72.0,160.0,Outfielder and Designated Hitter,1,0,0,0,0,0,1
owen002hun,none,0,nan,25.0,right,right,72.0,195.0,Third Baseman and Leftfielder,0,0,0,1,0,0,0
merced002gui,none,0,nan,nan,both,right,71.0,155.0,Shortstop,0,0,0,0,1,0,0
isaacs001gre,none,0,nan,18.0,left,right,73.0,200.0,"Second Baseman, Third Baseman and First Baseman",0,1,1,1,0,0,0
melend002dan,none,0,nan,2.0,left,left,76.0,205.0,First Baseman,0,1,0,0,0,0,0
obrego000oma,none,0,nan,nan,both,right,70.0,150.0,Second Baseman and Shortstop,0,0,1,0,1,0,0
zimmer003jor,none,0,nan,7.0,right,right,73.0,195.0,Second Baseman and Designated Hitter,1,0,1,0,0,0,0
ortego001ron,none,0,nan,nan,left,left,69.0,165.0,First Baseman,0,1,0,0,0,0,0
goodma000kri,none,0,nan,32.0,right,right,73.0,193.0,"Third Baseman, Outfielder and First Baseman",0,1,0,1,0,0,1
tonis001mic,tonismi01,1,-0.1,2.0,right,right,75.0,220.0,Catcher,0,0,0,0,0,1,0
koskie001cor,koskico01,1,24.6,26.0,left,right,75.0,215.0,Third Baseman,0,0,0,1,0,0,0
valaik001mat,none,0,nan,34.0,right,right,70.0,180.0,"Second Baseman, Shortstop and Outfielder",0,0,1,0,1,0,1
floria000est,none,0,nan,nan,left,right,73.0,185.0,Outfielder,0,0,0,0,0,0,1
rollin000fra,none,0,nan,nan,right,right,71.0,165.0,"Outfielder, Second Baseman and Designated Hitter",1,0,1,0,0,0,1
moore001rya,none,0,nan,nan,left,right,71.0,185.0,Second Baseman and Third Baseman,0,0,1,1,0,0,0
meade001pau,none,0,nan,9.0,both,right,73.0,175.0,"Third Baseman, Second Baseman and Shortstop",0,0,1,1,1,0,0
butler002rob,butlero01,1,-0.2,nan,left,left,71.0,185.0,Outfielder,0,0,0,0,0,0,1
smella001ste,none,0,nan,28.0,right,right,73.0,200.0,Outfielder,0,0,0,0,0,0,1
schroe002cas,none,0,nan,8.0,both,right,74.0,210.0,Catcher,0,0,0,0,0,1,0
hamilt001jon,none,0,nan,5.0,left,left,73.0,195.0,Outfielder,0,0,0,0,0,0,1
draper001joh,none,0,nan,4.0,right,right,74.0,191.0,Outfielder and Catcher,0,0,0,0,0,1,1
ozuna001raf,none,0,nan,nan,both,right,71.0,176.0,Second Baseman and Shortstop,0,0,1,0,1,0,0
daubac001bri,daubabr01,1,6.3,17.0,left,right,73.0,201.0,First Baseman and Outfielder,0,1,0,0,0,0,1
nidiff001mar,none,0,nan,nan,right,right,74.0,205.0,Catcher and First Baseman,0,1,0,0,0,1,0
muno001dan,munoda01,1,-0.4,8.0,both,right,73.0,195.0,"Second Baseman, Third Baseman and Shortstop",0,0,1,1,1,0,0
sobole001mar,none,0,nan,20.0,right,right,70.0,185.0,Second Baseman and Third Baseman,0,0,1,1,0,0,0
aguila000osm,none,0,nan,nan,right,right,72.0,185.0,Outfielder,0,0,0,0,0,0,1
merrit001gra,none,0,nan,44.0,right,right,73.0,205.0,Catcher,0,0,0,0,0,1,0
rodrig008alf,none,0,nan,nan,right,right,72.0,190.0,Shortstop,0,0,0,0,1,0,0
mateo000jor,none,0,nan,nan,right,right,72.0,190.0,"Shortstop, Outfielder and Second Baseman",0,0,1,0,1,0,1
mendez001joe,none,0,nan,nan,right,right,75.0,175.0,Outfielder,0,0,0,0,0,0,1
sosa003jua,sosaju01,1,-0.2,nan,right,right,73.0,175.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
leyva001eli,none,0,nan,nan,right,right,74.0,210.0,Rightfielder,0,0,0,0,0,0,0
wilson002bry,none,0,nan,23.0,right,right,74.0,175.0,Second Baseman and Shortstop,0,0,1,0,1,0,0
sharp001sco,none,0,nan,25.0,right,right,74.0,200.0,Catcher,0,0,0,0,0,1,0
dusan001jos,none,0,nan,12.0,left,left,73.0,190.0,First Baseman and Outfielder,0,1,0,0,0,0,1
lawrie001bre,lawribr01,1,15.2,1.0,right,right,72.0,210.0,Third Baseman and Second Baseman,0,0,1,1,0,0,0
johnso011mic,none,0,nan,45.0,right,right,72.0,180.0,Second Baseman,0,0,1,0,0,0,0
valeri001cha,none,0,nan,nan,both,right,72.0,204.0,Catcher and First Baseman,0,1,0,0,0,1,0
pagan001ang,none,0,nan,11.0,right,right,73.0,187.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
austin001pet,none,0,nan,40.0,right,right,74.0,195.0,Outfielder,0,0,0,0,0,0,1
melo001jua,meloju01,1,-0.2,nan,both,right,75.0,206.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
stone001cra,none,0,nan,nan,right,right,74.0,190.0,"First Baseman, Catcher and Third Baseman",0,1,0,1,0,1,0
welch002jam,none,0,nan,24.0,right,right,72.0,195.0,Catcher and First Baseman,0,1,0,0,0,1,0
minchk001kev,none,0,nan,45.0,left,left,75.0,210.0,First Baseman,0,1,0,0,0,0,0
heller001bra,none,0,nan,nan,right,right,71.0,190.0,"Catcher, Outfielder and First Baseman",0,1,0,0,0,1,1
sizemo001gra,sizemgr01,1,27.2,3.0,left,left,74.0,205.0,Outfielder,0,0,0,0,0,0,1
jones001ivo,none,0,nan,35.0,left,left,70.0,160.0,Outfielder,0,0,0,0,0,0,1
kupsey001joh,none,0,nan,2.0,right,right,73.0,185.0,"Third Baseman, Shortstop and First Baseman",0,1,0,1,1,0,0
lameda000rai,none,0,nan,nan,left,right,71.0,175.0,Outfielder and First Baseman,0,1,0,0,0,0,1
baez000yan,none,0,nan,nan,both,right,74.0,165.0,Shortstop and Third Baseman,0,0,0,1,1,0,0
santan001ral,none,0,nan,42.0,left,right,73.0,170.0,"Second Baseman, Outfielder and Third Baseman",0,0,1,1,0,0,1
dantzl000lb,none,0,nan,14.0,left,right,71.0,200.0,First Baseman and Leftfielder,0,1,0,0,0,0,0
holmes002wil,none,0,nan,26.0,left,left,73.0,195.0,First Baseman,0,1,0,0,0,0,0
ham001kev,none,0,nan,13.0,right,right,73.0,195.0,Outfielder,0,0,0,0,0,0,1
willia002kev,none,0,nan,30.0,right,right,72.0,175.0,Outfielder,0,0,0,0,0,0,1
dobson001sea,none,0,nan,40.0,right,left,69.0,180.0,Outfielder,0,0,0,0,0,0,1
mccann002jam,mccanja02,1,2.8,2.0,right,right,74.0,210.0,Catcher,0,0,0,0,0,1,0
torber001wal,none,0,nan,17.0,right,right,76.0,205.0,Outfielder,0,0,0,0,0,0,1
deleon000mic,none,0,nan,nan,both,right,73.0,160.0,Shortstop and Second Baseman,0,0,1,0,1,0,0
scales001bob,scalebo01,1,0.1,14.0,both,right,72.0,185.0,"Second Baseman, Outfielder and Third Baseman",0,0,1,1,0,0,1
finche000jak,none,0,nan,29.0,right,right,73.0,185.0,Outfielder,0,0,0,0,0,0,1
pujada001fer,none,0,nan,nan,right,right,73.0,210.0,Catcher,0,0,0,0,0,1,0
tilson000cha,tilsoch01,1,0.0,2.0,left,left,71.0,195.0,Centerfielder,0,0,0,0,0,0,0
hart002jas,hartja01,1,0.1,5.0,right,right,76.0,237.0,First Baseman and Outfielder,0,1,0,0,0,0,1
cole000hun,none,0,nan,26.0,right,right,73.0,190.0,Rightfielder and Second Baseman,0,0,1,0,0,0,0
hernan011mig,none,0,nan,nan,right,right,74.0,175.0,Outfielder,0,0,0,0,0,0,1
harris006jos,harrijo05,1,13.0,6.0,right,right,68.0,180.0,"Second Baseman, Third Baseman and Outfielder",0,0,1,1,0,0,1
sportm000jp,none,0,nan,27.0,right,right,69.0,190.0,Outfielder and Second Baseman,0,0,1,0,0,0,1
blair000zak,none,0,nan,20.0,left,right,70.0,190.0,Second Baseman and Outfielder,0,0,1,0,0,0,1
almont001den,none,0,nan,2.0,both,right,74.0,190.0,Outfielder,0,0,0,0,0,0,1
scharr001jam,none,0,nan,2.0,right,right,76.0,220.0,First Baseman,0,1,0,0,0,0,0
harrin001dus,none,0,nan,34.0,right,right,71.0,180.0,"Third Baseman, Shortstop and Second Baseman",0,0,1,1,1,0,0
fariss001mon,farismo01,1,-0.2,1.0,right,right,76.0,180.0,"Shortstop, Outfielder and Second Baseman",0,0,1,0,1,0,1
strang001mic,none,0,nan,47.0,right,right,72.0,172.0,"Second Baseman, Third Baseman and Shortstop",0,0,1,1,1,0,0
marcon001rob,none,0,nan,22.0,right,right,73.0,200.0,"Outfielder, Third Baseman and Second Baseman",0,0,1,1,0,0,1
betts000jor,none,0,nan,18.0,right,right,75.0,220.0,Third Baseman and First Baseman,0,1,0,1,0,0,0
suero000dan,none,0,nan,nan,left,left,72.0,165.0,Centerfielder and First Baseman,0,1,0,0,0,0,0
gabrie001den,none,0,nan,nan,both,right,72.0,150.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
sosa000rub,none,0,nan,23.0,both,right,67.0,170.0,Outfielder and Second Baseman,0,0,1,0,0,0,1
cone001zac,none,0,nan,1.0,right,right,74.0,212.0,Outfielder,0,0,0,0,0,0,1
nunez001arg,none,0,nan,nan,right,right,73.0,170.0,Outfielder,0,0,0,0,0,0,1
medina000rey,none,0,nan,nan,left,left,72.0,220.0,Outfielder and First Baseman,0,1,0,0,0,0,1
gutier000adr,none,0,nan,nan,right,right,74.0,205.0,Catcher and Rightfielder,0,0,0,0,0,1,0
shier001pet,none,0,nan,9.0,right,right,74.0,165.0,"Shortstop, Second Baseman and Outfielder",0,0,1,0,1,0,1
madril001wil,none,0,nan,nan,right,right,73.0,190.0,Catcher and First Baseman,0,1,0,0,0,1,0
tenbri001nat,none,0,nan,7.0,left,right,74.0,200.0,"Third Baseman, Outfielder and First Baseman",0,1,0,1,0,0,1
robert001dar,none,0,nan,12.0,right,right,72.0,215.0,Outfielder,0,0,0,0,0,0,1
frith001rya,none,0,nan,17.0,right,right,74.0,185.0,Outfielder,0,0,0,0,0,0,1
jordan002edw,none,0,nan,nan,right,right,73.0,190.0,Outfielder,0,0,0,0,0,0,1
dale001lac,none,0,nan,nan,right,right,75.0,232.0,First Baseman and Third Baseman,0,1,0,1,0,0,0
evans001sta,none,0,nan,10.0,left,right,71.0,175.0,Outfielder,0,0,0,0,0,0,1
stoner001mic,none,0,nan,nan,right,right,70.0,210.0,Outfielder and First Baseman,0,1,0,0,0,0,1
harvey001aar,none,0,nan,nan,left,right,69.0,180.0,Outfielder,0,0,0,0,0,0,1
ellsbu001jac,ellsbja01,1,29.9,1.0,left,left,73.0,195.0,Outfielder,0,0,0,0,0,0,1
pechek001ton,none,0,nan,41.0,both,right,74.0,195.0,Catcher,0,0,0,0,0,1,0
hill002nic,none,0,nan,26.0,right,right,76.0,190.0,"Outfielder, Third Baseman and Designated Hitter",1,0,0,1,0,0,1
mastel001dan,masteda01,1,-0.9,11.0,left,left,72.0,185.0,First Baseman and Outfielder,0,1,0,0,0,0,1
deberr001jos,none,0,nan,3.0,left,left,74.0,195.0,First Baseman and Outfielder,0,1,0,0,0,0,1
thomas003ton,none,0,nan,3.0,right,right,70.0,180.0,"Second Baseman, Leftfielder and Shortstop",0,0,1,0,1,0,0
scheib002pau,none,0,nan,41.0,both,right,75.0,200.0,Outfielder,0,0,0,0,0,0,1
wolfe002jos,none,0,nan,33.0,left,right,69.0,205.0,Catcher,0,0,0,0,0,1,0
gonzal001axe,none,0,nan,41.0,right,right,71.0,165.0,Outfielder,0,0,0,0,0,0,1
edmond002chr,none,0,nan,43.0,left,right,72.0,200.0,Outfielder and First Baseman,0,1,0,0,0,0,1
quinte001hum,quinthu01,1,2.1,nan,right,right,70.0,215.0,Catcher,0,0,0,0,0,1,0
healey001jac,none,0,nan,27.0,right,right,74.0,180.0,Shortstop,0,0,0,0,1,0,0
torres001tom,none,0,nan,nan,right,right,71.0,165.0,Shortstop and Third Baseman,0,0,0,1,1,0,0
davenp001ade,none,0,nan,18.0,right,right,71.0,195.0,"First Baseman, Third Baseman and Outfielder",0,1,0,1,0,0,1
darter001kei,none,0,nan,nan,left,left,72.0,180.0,Outfielder,0,0,0,0,0,0,1
forres001gar,none,0,nan,20.0,right,right,72.0,175.0,"Shortstop, Third Baseman and Second Baseman",0,0,1,1,1,0,0
mundy001ric,none,0,nan,36.0,right,right,74.0,205.0,Catcher and First Baseman,0,1,0,0,0,1,0
fonten001mic,fontemi01,1,4.5,1.0,left,right,69.0,165.0,"Second Baseman, Third Baseman and Shortstop",0,0,1,1,1,0,0
gregor003mar,gregodi01,1,11.0,nan,left,right,75.0,205.0,Shortstop and Second Baseman,0,0,1,0,1,0,0
diaz005fra,none,0,nan,nan,both,right,71.0,185.0,Catcher and Leftfielder,0,0,0,0,0,1,0
gebhar000rya,none,0,nan,17.0,right,right,71.0,195.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
markie001bra,none,0,nan,nan,right,right,75.0,205.0,"Third Baseman, First Baseman and Shortstop",0,1,0,1,1,0,0
